"region","year","contents","07459: Population, by region, year and contents"
"K-3001 Halden","1986","Persons",25844
"K-3001 Halden","1987","Persons",25807
"K-3001 Halden","1988","Persons",25848
"K-3001 Halden","1989","Persons",25841
"K-3001 Halden","1990","Persons",25816
"K-3001 Halden","1991","Persons",25852
"K-3001 Halden","1992","Persons",25831
"K-3001 Halden","1993","Persons",25896
"K-3001 Halden","1994","Persons",25908
"K-3001 Halden","1995","Persons",25953
"K-3001 Halden","1996","Persons",26021
"K-3001 Halden","1997","Persons",26162
"K-3001 Halden","1998","Persons",26417
"K-3001 Halden","1999","Persons",26523
"K-3001 Halden","2000","Persons",26733
"K-3001 Halden","2001","Persons",27133
"K-3001 Halden","2002","Persons",27204
"K-3001 Halden","2003","Persons",27438
"K-3001 Halden","2004","Persons",27464
"K-3001 Halden","2005","Persons",27582
"K-3001 Halden","2006","Persons",27722
"K-3001 Halden","2007","Persons",27835
"K-3001 Halden","2008","Persons",28092
"K-3001 Halden","2009","Persons",28389
"K-3001 Halden","2010","Persons",28776
"K-3001 Halden","2011","Persons",29220
"K-3001 Halden","2012","Persons",29543
"K-3001 Halden","2013","Persons",29880
"K-3001 Halden","2014","Persons",30132
"K-3001 Halden","2015","Persons",30328
"K-3001 Halden","2016","Persons",30544
"K-3001 Halden","2017","Persons",30790
"K-3001 Halden","2018","Persons",31037
"K-3001 Halden","2019","Persons",31177
"K-3001 Halden","2020","Persons",31373
"K-3002 Moss","1986","Persons",36154
"K-3002 Moss","1987","Persons",36260
"K-3002 Moss","1988","Persons",36631
"K-3002 Moss","1989","Persons",36797
"K-3002 Moss","1990","Persons",36648
"K-3002 Moss","1991","Persons",36786
"K-3002 Moss","1992","Persons",36902
"K-3002 Moss","1993","Persons",37155
"K-3002 Moss","1994","Persons",37260
"K-3002 Moss","1995","Persons",37542
"K-3002 Moss","1996","Persons",37851
"K-3002 Moss","1997","Persons",38132
"K-3002 Moss","1998","Persons",38747
"K-3002 Moss","1999","Persons",39352
"K-3002 Moss","2000","Persons",39921
"K-3002 Moss","2001","Persons",40608
"K-3002 Moss","2002","Persons",40877
"K-3002 Moss","2003","Persons",41309
"K-3002 Moss","2004","Persons",41485
"K-3002 Moss","2005","Persons",41752
"K-3002 Moss","2006","Persons",42044
"K-3002 Moss","2007","Persons",42472
"K-3002 Moss","2008","Persons",42987
"K-3002 Moss","2009","Persons",43693
"K-3002 Moss","2010","Persons",44323
"K-3002 Moss","2011","Persons",44691
"K-3002 Moss","2012","Persons",45414
"K-3002 Moss","2013","Persons",45955
"K-3002 Moss","2014","Persons",46409
"K-3002 Moss","2015","Persons",47044
"K-3002 Moss","2016","Persons",47640
"K-3002 Moss","2017","Persons",48154
"K-3002 Moss","2018","Persons",48671
"K-3002 Moss","2019","Persons",48871
"K-3002 Moss","2020","Persons",49273
"K-3003 Sarpsborg","1986","Persons",46274
"K-3003 Sarpsborg","1987","Persons",46499
"K-3003 Sarpsborg","1988","Persons",46651
"K-3003 Sarpsborg","1989","Persons",46875
"K-3003 Sarpsborg","1990","Persons",46671
"K-3003 Sarpsborg","1991","Persons",46608
"K-3003 Sarpsborg","1992","Persons",46611
"K-3003 Sarpsborg","1993","Persons",46543
"K-3003 Sarpsborg","1994","Persons",46381
"K-3003 Sarpsborg","1995","Persons",46449
"K-3003 Sarpsborg","1996","Persons",46424
"K-3003 Sarpsborg","1997","Persons",46440
"K-3003 Sarpsborg","1998","Persons",46692
"K-3003 Sarpsborg","1999","Persons",47122
"K-3003 Sarpsborg","2000","Persons",47447
"K-3003 Sarpsborg","2001","Persons",47993
"K-3003 Sarpsborg","2002","Persons",48555
"K-3003 Sarpsborg","2003","Persons",49044
"K-3003 Sarpsborg","2004","Persons",49423
"K-3003 Sarpsborg","2005","Persons",49753
"K-3003 Sarpsborg","2006","Persons",50115
"K-3003 Sarpsborg","2007","Persons",50593
"K-3003 Sarpsborg","2008","Persons",51053
"K-3003 Sarpsborg","2009","Persons",51723
"K-3003 Sarpsborg","2010","Persons",52159
"K-3003 Sarpsborg","2011","Persons",52805
"K-3003 Sarpsborg","2012","Persons",53333
"K-3003 Sarpsborg","2013","Persons",53696
"K-3003 Sarpsborg","2014","Persons",54059
"K-3003 Sarpsborg","2015","Persons",54192
"K-3003 Sarpsborg","2016","Persons",54678
"K-3003 Sarpsborg","2017","Persons",55127
"K-3003 Sarpsborg","2018","Persons",55543
"K-3003 Sarpsborg","2019","Persons",55997
"K-3003 Sarpsborg","2020","Persons",56732
"K-3004 Fredrikstad","1986","Persons",63962
"K-3004 Fredrikstad","1987","Persons",63991
"K-3004 Fredrikstad","1988","Persons",64248
"K-3004 Fredrikstad","1989","Persons",64392
"K-3004 Fredrikstad","1990","Persons",64448
"K-3004 Fredrikstad","1991","Persons",64651
"K-3004 Fredrikstad","1992","Persons",64706
"K-3004 Fredrikstad","1993","Persons",64813
"K-3004 Fredrikstad","1994","Persons",64843
"K-3004 Fredrikstad","1995","Persons",65214
"K-3004 Fredrikstad","1996","Persons",65711
"K-3004 Fredrikstad","1997","Persons",66034
"K-3004 Fredrikstad","1998","Persons",66746
"K-3004 Fredrikstad","1999","Persons",67415
"K-3004 Fredrikstad","2000","Persons",67761
"K-3004 Fredrikstad","2001","Persons",68143
"K-3004 Fredrikstad","2002","Persons",68505
"K-3004 Fredrikstad","2003","Persons",69288
"K-3004 Fredrikstad","2004","Persons",69867
"K-3004 Fredrikstad","2005","Persons",70418
"K-3004 Fredrikstad","2006","Persons",70791
"K-3004 Fredrikstad","2007","Persons",71297
"K-3004 Fredrikstad","2008","Persons",71976
"K-3004 Fredrikstad","2009","Persons",72760
"K-3004 Fredrikstad","2010","Persons",73638
"K-3004 Fredrikstad","2011","Persons",74579
"K-3004 Fredrikstad","2012","Persons",75583
"K-3004 Fredrikstad","2013","Persons",76807
"K-3004 Fredrikstad","2014","Persons",77591
"K-3004 Fredrikstad","2015","Persons",78159
"K-3004 Fredrikstad","2016","Persons",78967
"K-3004 Fredrikstad","2017","Persons",80121
"K-3004 Fredrikstad","2018","Persons",80977
"K-3004 Fredrikstad","2019","Persons",81772
"K-3004 Fredrikstad","2020","Persons",82385
"K-3005 Drammen","1986","Persons",74534
"K-3005 Drammen","1987","Persons",75325
"K-3005 Drammen","1988","Persons",76148
"K-3005 Drammen","1989","Persons",76589
"K-3005 Drammen","1990","Persons",76705
"K-3005 Drammen","1991","Persons",76712
"K-3005 Drammen","1992","Persons",76924
"K-3005 Drammen","1993","Persons",77216
"K-3005 Drammen","1994","Persons",77539
"K-3005 Drammen","1995","Persons",78091
"K-3005 Drammen","1996","Persons",78366
"K-3005 Drammen","1997","Persons",78851
"K-3005 Drammen","1998","Persons",79777
"K-3005 Drammen","1999","Persons",80762
"K-3005 Drammen","2000","Persons",81602
"K-3005 Drammen","2001","Persons",82373
"K-3005 Drammen","2002","Persons",83238
"K-3005 Drammen","2003","Persons",83924
"K-3005 Drammen","2004","Persons",84510
"K-3005 Drammen","2005","Persons",85111
"K-3005 Drammen","2006","Persons",85877
"K-3005 Drammen","2007","Persons",87073
"K-3005 Drammen","2008","Persons",88700
"K-3005 Drammen","2009","Persons",90196
"K-3005 Drammen","2010","Persons",91719
"K-3005 Drammen","2011","Persons",92993
"K-3005 Drammen","2012","Persons",94440
"K-3005 Drammen","2013","Persons",95683
"K-3005 Drammen","2014","Persons",96605
"K-3005 Drammen","2015","Persons",97771
"K-3005 Drammen","2016","Persons",98930
"K-3005 Drammen","2017","Persons",99734
"K-3005 Drammen","2018","Persons",100302
"K-3005 Drammen","2019","Persons",100581
"K-3005 Drammen","2020","Persons",101386
"K-3006 Kongsberg","1986","Persons",21060
"K-3006 Kongsberg","1987","Persons",21205
"K-3006 Kongsberg","1988","Persons",21262
"K-3006 Kongsberg","1989","Persons",21217
"K-3006 Kongsberg","1990","Persons",21179
"K-3006 Kongsberg","1991","Persons",21169
"K-3006 Kongsberg","1992","Persons",21147
"K-3006 Kongsberg","1993","Persons",21258
"K-3006 Kongsberg","1994","Persons",21258
"K-3006 Kongsberg","1995","Persons",21522
"K-3006 Kongsberg","1996","Persons",21704
"K-3006 Kongsberg","1997","Persons",21757
"K-3006 Kongsberg","1998","Persons",21884
"K-3006 Kongsberg","1999","Persons",22104
"K-3006 Kongsberg","2000","Persons",22293
"K-3006 Kongsberg","2001","Persons",22484
"K-3006 Kongsberg","2002","Persons",22657
"K-3006 Kongsberg","2003","Persons",22908
"K-3006 Kongsberg","2004","Persons",23154
"K-3006 Kongsberg","2005","Persons",23244
"K-3006 Kongsberg","2006","Persons",23315
"K-3006 Kongsberg","2007","Persons",23644
"K-3006 Kongsberg","2008","Persons",23997
"K-3006 Kongsberg","2009","Persons",24381
"K-3006 Kongsberg","2010","Persons",24714
"K-3006 Kongsberg","2011","Persons",25090
"K-3006 Kongsberg","2012","Persons",25479
"K-3006 Kongsberg","2013","Persons",25887
"K-3006 Kongsberg","2014","Persons",26406
"K-3006 Kongsberg","2015","Persons",26711
"K-3006 Kongsberg","2016","Persons",27013
"K-3006 Kongsberg","2017","Persons",27216
"K-3006 Kongsberg","2018","Persons",27410
"K-3006 Kongsberg","2019","Persons",27481
"K-3006 Kongsberg","2020","Persons",27723
"K-3007 Ringerike","1986","Persons",26797
"K-3007 Ringerike","1987","Persons",26784
"K-3007 Ringerike","1988","Persons",26974
"K-3007 Ringerike","1989","Persons",27108
"K-3007 Ringerike","1990","Persons",27275
"K-3007 Ringerike","1991","Persons",27366
"K-3007 Ringerike","1992","Persons",27396
"K-3007 Ringerike","1993","Persons",27374
"K-3007 Ringerike","1994","Persons",27401
"K-3007 Ringerike","1995","Persons",27407
"K-3007 Ringerike","1996","Persons",27436
"K-3007 Ringerike","1997","Persons",27453
"K-3007 Ringerike","1998","Persons",27664
"K-3007 Ringerike","1999","Persons",27800
"K-3007 Ringerike","2000","Persons",27917
"K-3007 Ringerike","2001","Persons",28030
"K-3007 Ringerike","2002","Persons",27912
"K-3007 Ringerike","2003","Persons",28055
"K-3007 Ringerike","2004","Persons",28060
"K-3007 Ringerike","2005","Persons",28079
"K-3007 Ringerike","2006","Persons",28197
"K-3007 Ringerike","2007","Persons",28385
"K-3007 Ringerike","2008","Persons",28523
"K-3007 Ringerike","2009","Persons",28645
"K-3007 Ringerike","2010","Persons",28806
"K-3007 Ringerike","2011","Persons",28946
"K-3007 Ringerike","2012","Persons",29236
"K-3007 Ringerike","2013","Persons",29400
"K-3007 Ringerike","2014","Persons",29624
"K-3007 Ringerike","2015","Persons",29712
"K-3007 Ringerike","2016","Persons",29801
"K-3007 Ringerike","2017","Persons",30034
"K-3007 Ringerike","2018","Persons",30283
"K-3007 Ringerike","2019","Persons",30442
"K-3007 Ringerike","2020","Persons",30641
"K-3011 Hvaler","1986","Persons",2921
"K-3011 Hvaler","1987","Persons",2968
"K-3011 Hvaler","1988","Persons",3090
"K-3011 Hvaler","1989","Persons",3181
"K-3011 Hvaler","1990","Persons",3213
"K-3011 Hvaler","1991","Persons",3222
"K-3011 Hvaler","1992","Persons",3266
"K-3011 Hvaler","1993","Persons",3273
"K-3011 Hvaler","1994","Persons",3364
"K-3011 Hvaler","1995","Persons",3407
"K-3011 Hvaler","1996","Persons",3430
"K-3011 Hvaler","1997","Persons",3462
"K-3011 Hvaler","1998","Persons",3460
"K-3011 Hvaler","1999","Persons",3487
"K-3011 Hvaler","2000","Persons",3494
"K-3011 Hvaler","2001","Persons",3504
"K-3011 Hvaler","2002","Persons",3588
"K-3011 Hvaler","2003","Persons",3617
"K-3011 Hvaler","2004","Persons",3694
"K-3011 Hvaler","2005","Persons",3773
"K-3011 Hvaler","2006","Persons",3821
"K-3011 Hvaler","2007","Persons",3880
"K-3011 Hvaler","2008","Persons",3961
"K-3011 Hvaler","2009","Persons",3998
"K-3011 Hvaler","2010","Persons",4085
"K-3011 Hvaler","2011","Persons",4160
"K-3011 Hvaler","2012","Persons",4206
"K-3011 Hvaler","2013","Persons",4284
"K-3011 Hvaler","2014","Persons",4386
"K-3011 Hvaler","2015","Persons",4480
"K-3011 Hvaler","2016","Persons",4511
"K-3011 Hvaler","2017","Persons",4517
"K-3011 Hvaler","2018","Persons",4540
"K-3011 Hvaler","2019","Persons",4599
"K-3011 Hvaler","2020","Persons",4668
"K-3012 Aremark","1986","Persons",1506
"K-3012 Aremark","1987","Persons",1509
"K-3012 Aremark","1988","Persons",1491
"K-3012 Aremark","1989","Persons",1493
"K-3012 Aremark","1990","Persons",1493
"K-3012 Aremark","1991","Persons",1488
"K-3012 Aremark","1992","Persons",1489
"K-3012 Aremark","1993","Persons",1474
"K-3012 Aremark","1994","Persons",1456
"K-3012 Aremark","1995","Persons",1466
"K-3012 Aremark","1996","Persons",1470
"K-3012 Aremark","1997","Persons",1465
"K-3012 Aremark","1998","Persons",1461
"K-3012 Aremark","1999","Persons",1458
"K-3012 Aremark","2000","Persons",1451
"K-3012 Aremark","2001","Persons",1419
"K-3012 Aremark","2002","Persons",1441
"K-3012 Aremark","2003","Persons",1458
"K-3012 Aremark","2004","Persons",1437
"K-3012 Aremark","2005","Persons",1425
"K-3012 Aremark","2006","Persons",1456
"K-3012 Aremark","2007","Persons",1417
"K-3012 Aremark","2008","Persons",1429
"K-3012 Aremark","2009","Persons",1420
"K-3012 Aremark","2010","Persons",1424
"K-3012 Aremark","2011","Persons",1414
"K-3012 Aremark","2012","Persons",1423
"K-3012 Aremark","2013","Persons",1425
"K-3012 Aremark","2014","Persons",1408
"K-3012 Aremark","2015","Persons",1406
"K-3012 Aremark","2016","Persons",1404
"K-3012 Aremark","2017","Persons",1398
"K-3012 Aremark","2018","Persons",1399
"K-3012 Aremark","2019","Persons",1357
"K-3012 Aremark","2020","Persons",1325
"K-3013 Marker","1986","Persons",3430
"K-3013 Marker","1987","Persons",3435
"K-3013 Marker","1988","Persons",3474
"K-3013 Marker","1989","Persons",3425
"K-3013 Marker","1990","Persons",3424
"K-3013 Marker","1991","Persons",3435
"K-3013 Marker","1992","Persons",3427
"K-3013 Marker","1993","Persons",3390
"K-3013 Marker","1994","Persons",3342
"K-3013 Marker","1995","Persons",3344
"K-3013 Marker","1996","Persons",3301
"K-3013 Marker","1997","Persons",3244
"K-3013 Marker","1998","Persons",3279
"K-3013 Marker","1999","Persons",3290
"K-3013 Marker","2000","Persons",3300
"K-3013 Marker","2001","Persons",3356
"K-3013 Marker","2002","Persons",3319
"K-3013 Marker","2003","Persons",3408
"K-3013 Marker","2004","Persons",3409
"K-3013 Marker","2005","Persons",3439
"K-3013 Marker","2006","Persons",3505
"K-3013 Marker","2007","Persons",3517
"K-3013 Marker","2008","Persons",3463
"K-3013 Marker","2009","Persons",3455
"K-3013 Marker","2010","Persons",3471
"K-3013 Marker","2011","Persons",3476
"K-3013 Marker","2012","Persons",3518
"K-3013 Marker","2013","Persons",3587
"K-3013 Marker","2014","Persons",3596
"K-3013 Marker","2015","Persons",3613
"K-3013 Marker","2016","Persons",3610
"K-3013 Marker","2017","Persons",3597
"K-3013 Marker","2018","Persons",3567
"K-3013 Marker","2019","Persons",3592
"K-3013 Marker","2020","Persons",3595
"K-3014 Indre Oestfold","1986","Persons",34500
"K-3014 Indre Oestfold","1987","Persons",34681
"K-3014 Indre Oestfold","1988","Persons",34880
"K-3014 Indre Oestfold","1989","Persons",35103
"K-3014 Indre Oestfold","1990","Persons",35212
"K-3014 Indre Oestfold","1991","Persons",35266
"K-3014 Indre Oestfold","1992","Persons",35142
"K-3014 Indre Oestfold","1993","Persons",35002
"K-3014 Indre Oestfold","1994","Persons",35030
"K-3014 Indre Oestfold","1995","Persons",35150
"K-3014 Indre Oestfold","1996","Persons",35312
"K-3014 Indre Oestfold","1997","Persons",35455
"K-3014 Indre Oestfold","1998","Persons",35969
"K-3014 Indre Oestfold","1999","Persons",36431
"K-3014 Indre Oestfold","2000","Persons",36944
"K-3014 Indre Oestfold","2001","Persons",37436
"K-3014 Indre Oestfold","2002","Persons",37669
"K-3014 Indre Oestfold","2003","Persons",37976
"K-3014 Indre Oestfold","2004","Persons",38270
"K-3014 Indre Oestfold","2005","Persons",38609
"K-3014 Indre Oestfold","2006","Persons",38884
"K-3014 Indre Oestfold","2007","Persons",39206
"K-3014 Indre Oestfold","2008","Persons",39715
"K-3014 Indre Oestfold","2009","Persons",40260
"K-3014 Indre Oestfold","2010","Persons",40686
"K-3014 Indre Oestfold","2011","Persons",41108
"K-3014 Indre Oestfold","2012","Persons",41623
"K-3014 Indre Oestfold","2013","Persons",42237
"K-3014 Indre Oestfold","2014","Persons",42926
"K-3014 Indre Oestfold","2015","Persons",43247
"K-3014 Indre Oestfold","2016","Persons",43472
"K-3014 Indre Oestfold","2017","Persons",43815
"K-3014 Indre Oestfold","2018","Persons",44035
"K-3014 Indre Oestfold","2019","Persons",44320
"K-3014 Indre Oestfold","2020","Persons",44792
"K-3015 Skiptvet","1986","Persons",3124
"K-3015 Skiptvet","1987","Persons",3140
"K-3015 Skiptvet","1988","Persons",3160
"K-3015 Skiptvet","1989","Persons",3168
"K-3015 Skiptvet","1990","Persons",3156
"K-3015 Skiptvet","1991","Persons",3128
"K-3015 Skiptvet","1992","Persons",3097
"K-3015 Skiptvet","1993","Persons",3127
"K-3015 Skiptvet","1994","Persons",3069
"K-3015 Skiptvet","1995","Persons",3149
"K-3015 Skiptvet","1996","Persons",3150
"K-3015 Skiptvet","1997","Persons",3120
"K-3015 Skiptvet","1998","Persons",3125
"K-3015 Skiptvet","1999","Persons",3141
"K-3015 Skiptvet","2000","Persons",3140
"K-3015 Skiptvet","2001","Persons",3213
"K-3015 Skiptvet","2002","Persons",3258
"K-3015 Skiptvet","2003","Persons",3327
"K-3015 Skiptvet","2004","Persons",3336
"K-3015 Skiptvet","2005","Persons",3355
"K-3015 Skiptvet","2006","Persons",3400
"K-3015 Skiptvet","2007","Persons",3413
"K-3015 Skiptvet","2008","Persons",3525
"K-3015 Skiptvet","2009","Persons",3492
"K-3015 Skiptvet","2010","Persons",3541
"K-3015 Skiptvet","2011","Persons",3576
"K-3015 Skiptvet","2012","Persons",3631
"K-3015 Skiptvet","2013","Persons",3668
"K-3015 Skiptvet","2014","Persons",3727
"K-3015 Skiptvet","2015","Persons",3731
"K-3015 Skiptvet","2016","Persons",3742
"K-3015 Skiptvet","2017","Persons",3783
"K-3015 Skiptvet","2018","Persons",3831
"K-3015 Skiptvet","2019","Persons",3797
"K-3015 Skiptvet","2020","Persons",3805
"K-3016 Rakkestad","1986","Persons",7159
"K-3016 Rakkestad","1987","Persons",7139
"K-3016 Rakkestad","1988","Persons",7125
"K-3016 Rakkestad","1989","Persons",7238
"K-3016 Rakkestad","1990","Persons",7182
"K-3016 Rakkestad","1991","Persons",7161
"K-3016 Rakkestad","1992","Persons",7126
"K-3016 Rakkestad","1993","Persons",7127
"K-3016 Rakkestad","1994","Persons",7078
"K-3016 Rakkestad","1995","Persons",7048
"K-3016 Rakkestad","1996","Persons",7020
"K-3016 Rakkestad","1997","Persons",7034
"K-3016 Rakkestad","1998","Persons",7049
"K-3016 Rakkestad","1999","Persons",7080
"K-3016 Rakkestad","2000","Persons",7076
"K-3016 Rakkestad","2001","Persons",7158
"K-3016 Rakkestad","2002","Persons",7159
"K-3016 Rakkestad","2003","Persons",7217
"K-3016 Rakkestad","2004","Persons",7232
"K-3016 Rakkestad","2005","Persons",7284
"K-3016 Rakkestad","2006","Persons",7366
"K-3016 Rakkestad","2007","Persons",7428
"K-3016 Rakkestad","2008","Persons",7515
"K-3016 Rakkestad","2009","Persons",7496
"K-3016 Rakkestad","2010","Persons",7517
"K-3016 Rakkestad","2011","Persons",7601
"K-3016 Rakkestad","2012","Persons",7698
"K-3016 Rakkestad","2013","Persons",7860
"K-3016 Rakkestad","2014","Persons",7974
"K-3016 Rakkestad","2015","Persons",8020
"K-3016 Rakkestad","2016","Persons",8084
"K-3016 Rakkestad","2017","Persons",8173
"K-3016 Rakkestad","2018","Persons",8202
"K-3016 Rakkestad","2019","Persons",8230
"K-3016 Rakkestad","2020","Persons",8255
"K-3017 Raade","1986","Persons",5819
"K-3017 Raade","1987","Persons",5864
"K-3017 Raade","1988","Persons",5924
"K-3017 Raade","1989","Persons",5930
"K-3017 Raade","1990","Persons",5995
"K-3017 Raade","1991","Persons",6000
"K-3017 Raade","1992","Persons",5960
"K-3017 Raade","1993","Persons",6051
"K-3017 Raade","1994","Persons",6044
"K-3017 Raade","1995","Persons",5993
"K-3017 Raade","1996","Persons",6018
"K-3017 Raade","1997","Persons",6045
"K-3017 Raade","1998","Persons",6073
"K-3017 Raade","1999","Persons",6117
"K-3017 Raade","2000","Persons",6217
"K-3017 Raade","2001","Persons",6275
"K-3017 Raade","2002","Persons",6388
"K-3017 Raade","2003","Persons",6380
"K-3017 Raade","2004","Persons",6380
"K-3017 Raade","2005","Persons",6465
"K-3017 Raade","2006","Persons",6544
"K-3017 Raade","2007","Persons",6654
"K-3017 Raade","2008","Persons",6825
"K-3017 Raade","2009","Persons",6790
"K-3017 Raade","2010","Persons",6882
"K-3017 Raade","2011","Persons",6946
"K-3017 Raade","2012","Persons",6987
"K-3017 Raade","2013","Persons",7053
"K-3017 Raade","2014","Persons",7104
"K-3017 Raade","2015","Persons",7206
"K-3017 Raade","2016","Persons",7357
"K-3017 Raade","2017","Persons",7398
"K-3017 Raade","2018","Persons",7465
"K-3017 Raade","2019","Persons",7542
"K-3017 Raade","2020","Persons",7508
"K-3018 Vaaler (Oestfold)","1986","Persons",3594
"K-3018 Vaaler (Oestfold)","1987","Persons",3742
"K-3018 Vaaler (Oestfold)","1988","Persons",3847
"K-3018 Vaaler (Oestfold)","1989","Persons",3883
"K-3018 Vaaler (Oestfold)","1990","Persons",4070
"K-3018 Vaaler (Oestfold)","1991","Persons",4092
"K-3018 Vaaler (Oestfold)","1992","Persons",4101
"K-3018 Vaaler (Oestfold)","1993","Persons",4148
"K-3018 Vaaler (Oestfold)","1994","Persons",4298
"K-3018 Vaaler (Oestfold)","1995","Persons",4015
"K-3018 Vaaler (Oestfold)","1996","Persons",3884
"K-3018 Vaaler (Oestfold)","1997","Persons",3900
"K-3018 Vaaler (Oestfold)","1998","Persons",3898
"K-3018 Vaaler (Oestfold)","1999","Persons",3933
"K-3018 Vaaler (Oestfold)","2000","Persons",4059
"K-3018 Vaaler (Oestfold)","2001","Persons",4113
"K-3018 Vaaler (Oestfold)","2002","Persons",4126
"K-3018 Vaaler (Oestfold)","2003","Persons",4002
"K-3018 Vaaler (Oestfold)","2004","Persons",4003
"K-3018 Vaaler (Oestfold)","2005","Persons",4020
"K-3018 Vaaler (Oestfold)","2006","Persons",4071
"K-3018 Vaaler (Oestfold)","2007","Persons",4152
"K-3018 Vaaler (Oestfold)","2008","Persons",4268
"K-3018 Vaaler (Oestfold)","2009","Persons",4437
"K-3018 Vaaler (Oestfold)","2010","Persons",4472
"K-3018 Vaaler (Oestfold)","2011","Persons",4573
"K-3018 Vaaler (Oestfold)","2012","Persons",4705
"K-3018 Vaaler (Oestfold)","2013","Persons",4857
"K-3018 Vaaler (Oestfold)","2014","Persons",4978
"K-3018 Vaaler (Oestfold)","2015","Persons",5100
"K-3018 Vaaler (Oestfold)","2016","Persons",5186
"K-3018 Vaaler (Oestfold)","2017","Persons",5335
"K-3018 Vaaler (Oestfold)","2018","Persons",5471
"K-3018 Vaaler (Oestfold)","2019","Persons",5593
"K-3018 Vaaler (Oestfold)","2020","Persons",5736
"K-3019 Vestby","1986","Persons",10952
"K-3019 Vestby","1987","Persons",11220
"K-3019 Vestby","1988","Persons",11226
"K-3019 Vestby","1989","Persons",11318
"K-3019 Vestby","1990","Persons",11286
"K-3019 Vestby","1991","Persons",11217
"K-3019 Vestby","1992","Persons",11273
"K-3019 Vestby","1993","Persons",11223
"K-3019 Vestby","1994","Persons",11272
"K-3019 Vestby","1995","Persons",11341
"K-3019 Vestby","1996","Persons",11362
"K-3019 Vestby","1997","Persons",11431
"K-3019 Vestby","1998","Persons",11549
"K-3019 Vestby","1999","Persons",11597
"K-3019 Vestby","2000","Persons",11815
"K-3019 Vestby","2001","Persons",12241
"K-3019 Vestby","2002","Persons",12515
"K-3019 Vestby","2003","Persons",12724
"K-3019 Vestby","2004","Persons",12834
"K-3019 Vestby","2005","Persons",12990
"K-3019 Vestby","2006","Persons",13159
"K-3019 Vestby","2007","Persons",13414
"K-3019 Vestby","2008","Persons",13825
"K-3019 Vestby","2009","Persons",14095
"K-3019 Vestby","2010","Persons",14373
"K-3019 Vestby","2011","Persons",14708
"K-3019 Vestby","2012","Persons",15143
"K-3019 Vestby","2013","Persons",15605
"K-3019 Vestby","2014","Persons",15944
"K-3019 Vestby","2015","Persons",16310
"K-3019 Vestby","2016","Persons",16732
"K-3019 Vestby","2017","Persons",17188
"K-3019 Vestby","2018","Persons",17486
"K-3019 Vestby","2019","Persons",17824
"K-3019 Vestby","2020","Persons",18042
"K-3020 Nordre Follo","1986","Persons",40570
"K-3020 Nordre Follo","1987","Persons",41089
"K-3020 Nordre Follo","1988","Persons",41704
"K-3020 Nordre Follo","1989","Persons",42145
"K-3020 Nordre Follo","1990","Persons",42613
"K-3020 Nordre Follo","1991","Persons",43050
"K-3020 Nordre Follo","1992","Persons",43531
"K-3020 Nordre Follo","1993","Persons",44300
"K-3020 Nordre Follo","1994","Persons",45013
"K-3020 Nordre Follo","1995","Persons",45421
"K-3020 Nordre Follo","1996","Persons",46065
"K-3020 Nordre Follo","1997","Persons",46810
"K-3020 Nordre Follo","1998","Persons",47377
"K-3020 Nordre Follo","1999","Persons",48022
"K-3020 Nordre Follo","2000","Persons",48347
"K-3020 Nordre Follo","2001","Persons",48542
"K-3020 Nordre Follo","2002","Persons",48915
"K-3020 Nordre Follo","2003","Persons",49398
"K-3020 Nordre Follo","2004","Persons",49931
"K-3020 Nordre Follo","2005","Persons",50386
"K-3020 Nordre Follo","2006","Persons",50907
"K-3020 Nordre Follo","2007","Persons",51240
"K-3020 Nordre Follo","2008","Persons",51680
"K-3020 Nordre Follo","2009","Persons",52311
"K-3020 Nordre Follo","2010","Persons",52905
"K-3020 Nordre Follo","2011","Persons",53659
"K-3020 Nordre Follo","2012","Persons",54490
"K-3020 Nordre Follo","2013","Persons",55270
"K-3020 Nordre Follo","2014","Persons",55797
"K-3020 Nordre Follo","2015","Persons",56355
"K-3020 Nordre Follo","2016","Persons",57053
"K-3020 Nordre Follo","2017","Persons",57686
"K-3020 Nordre Follo","2018","Persons",58058
"K-3020 Nordre Follo","2019","Persons",58237
"K-3020 Nordre Follo","2020","Persons",59288
"K-3021 Aas","1986","Persons",11351
"K-3021 Aas","1987","Persons",11403
"K-3021 Aas","1988","Persons",11597
"K-3021 Aas","1989","Persons",11765
"K-3021 Aas","1990","Persons",11917
"K-3021 Aas","1991","Persons",11935
"K-3021 Aas","1992","Persons",11909
"K-3021 Aas","1993","Persons",12086
"K-3021 Aas","1994","Persons",12206
"K-3021 Aas","1995","Persons",12354
"K-3021 Aas","1996","Persons",12516
"K-3021 Aas","1997","Persons",12734
"K-3021 Aas","1998","Persons",13090
"K-3021 Aas","1999","Persons",13260
"K-3021 Aas","2000","Persons",13568
"K-3021 Aas","2001","Persons",13838
"K-3021 Aas","2002","Persons",14037
"K-3021 Aas","2003","Persons",14227
"K-3021 Aas","2004","Persons",14323
"K-3021 Aas","2005","Persons",14472
"K-3021 Aas","2006","Persons",14530
"K-3021 Aas","2007","Persons",14873
"K-3021 Aas","2008","Persons",15324
"K-3021 Aas","2009","Persons",15863
"K-3021 Aas","2010","Persons",16386
"K-3021 Aas","2011","Persons",16733
"K-3021 Aas","2012","Persons",17284
"K-3021 Aas","2013","Persons",17568
"K-3021 Aas","2014","Persons",17969
"K-3021 Aas","2015","Persons",18503
